pair,0,1,2,3,4,5,6,7,8,9,10,11,12
POL/USDC,1742256000000,0.219,0.219,0.219,0.219,0,1742342399999,0,0,0,0,False,0
Elon/USDT,1742256000000,34.12,34.12,34.12,34.12,0,1742342399999,0,0,0,0,False,0
VEN/ETH,1742256000000,0.0000000005655,0.0000000005655,0.0000000005655,0.0000000005655,0,1742342399999,0,0,0,0,False,0
USDC/ETH,1742256000000,1927.3,1931.1,1873.6,1888.5,1046617.02891,1742342399999,550.766604,24489,550.766604,1046617.02891,False,1927.8
USDC/USDT,1742256000000,1,1,1,1,0,1742342399999,0,0,0,0,False,0
ZRO/USDC,1742256000000,1.618,1.618,1.618,1.618,0,1742342399999,0,0,0,0,False,0
LDO/USDC,1742256000000,0.964,0.965,0.907,0.909,46128.20121,1742342399999,49053.398,4080,49053.398,46128.20121,False,0.93542
LDO/ETH,1742256000000,1,1,1,1,0,1742342399999,0,0,0,0,False,0
USUAL/USDC,1742256000000,0.1809,0.1828,0.1555,0.1566,79935.036791,1742342399999,473333.762,10700,473333.762,79935.036791,False,0.18137
ZEUS/ETH,1742256000000,0.00034,0.00034,0.00034,0.00034,0,1742342399999,0,0,0,0,False,0
ENJ/USDC,1742256000000,0.3661,0.3661,0.3661,0.3661,0,1742342399999,0,0,0,0,False,0
GAL/USDC,1742256000000,4.054,4.054,4.054,4.054,0,1742342399999,0,0,0,0,False,0
ARB/USDC,1742256000000,0.37,0.3702,0.3544,0.3576,68896.24861,1742342399999,190560.55,11873,190560.55,68896.24861,False,0.36866
MKR/USDC,1742256000000,1209,1243,1186,1234,10713.219455,1742342399999,8.828739,2065,8.828739,10713.219455,False,1195.2
ARPA/USDC,1742256000000,0.03583,0.03583,0.03583,0.03583,0,1742342399999,0,0,0,0,False,0
BEAM/USDC,1742256000000,0.0091,0.0091,0.0091,0.0091,0,1742342399999,0,0,0,0,False,0
WKLAY/USDC,1742256000000,0.1306,0.1306,0.1306,0.1306,0,1742342399999,0,0,0,0,False,0
BIO/USDC,1742256000000,0.1166,0.1166,0.1166,0.1166,0,1742342399999,0,0,0,0,False,0
SEI/USDC,1742256000000,0.1939,0.1939,0.1939,0.1939,0,1742342399999,0,0,0,0,False,0
CELR/USDC,1742256000000,0.01266,0.01266,0.01266,0.01266,0,1742342399999,0,0,0,0,False,0
G/USDC,1742256000000,0.01888,0.01888,0.01888,0.01888,0,1742342399999,0,0,0,0,False,0
ZRC/USDC,1742256000000,0.06332,0.06332,0.06332,0.06332,0,1742342399999,0,0,0,0,False,0
MAGA/USDT,1742256000000,134.1,134.1,134.1,134.1,0,1742342399999,0,0,0,0,False,0
LYV/USDC,1742256000000,0.1,0.1,0.1,0.1,0,1742342399999,0,0,0,0,False,0
CELO/USDC,1742256000000,0.4339,0.4339,0.4339,0.4339,0,1742342399999,0,0,0,0,False,0
UNI/ETH,1742256000000,0.0532,0.0532,0.0532,0.0532,0,1742342399999,0,0,0,0,False,0
UNI/USDC,1742256000000,6.3,6.326,6.108,6.166,211207.49313,1742342399999,33953.082,21232,33953.082,211207.49313,False,6.2895
WAVAX/USDC,1742256000000,24.11,24.11,24.11,24.11,0,1742342399999,0,0,0,0,False,0
ARKM/USDC,1742256000000,0.64,0.64,0.64,0.64,0,1742342399999,0,0,0,0,False,0
ENS/ETH,1742256000000,0.1,0.1,0.1,0.1,0,1742342399999,0,0,0,0,False,0
ENS/USDC,1742256000000,16.53,16.54,15.7,15.85,34800.54851,1742342399999,2159.4949,6638,2159.4949,34800.54851,False,16.48
ETHFI/USDC,1742256000000,0.688,0.689,0.658,0.661,8911.55313,1742342399999,13271.14,1709,13271.14,8911.55313,False,0.6712
METIS/USDC,1742256000000,25.2,25.2,25.2,25.2,0,1742342399999,0,0,0,0,False,0
MAP/USDC,1742256000000,0.0002734,0.0002734,0.0002734,0.0002734,0,1742342399999,0,0,0,0,False,0
HIFI/USDC,1742256000000,0.442,0.442,0.442,0.442,0,1742342399999,0,0,0,0,False,0
BLUR/USDC,1742256000000,0.1421,0.1421,0.1421,0.1421,0,1742342399999,0,0,0,0,False,0
FRONT/USDC,1742256000000,0.769,0.769,0.769,0.769,0,1742342399999,0,0,0,0,False,0
SWELL/USDC,1742256000000,0.0114,0.01179,0.01094,0.01101,7651.416306,1742342399999,679158.4,1612,679158.4,7651.416306,False,0.011414
REQ/USDC,1742256000000,0.1002,0.1002,0.1002,0.1002,0,1742342399999,0,0,0,0,False,0
RDNT/USDC,1742256000000,0.0326,0.0326,0.0326,0.0326,0,1742342399999,0,0,0,0,False,0
JUP/USDC,1742256000000,0.7443,0.7443,0.7443,0.7443,0,1742342399999,0,0,0,0,False,0
DG/ETH,1742256000000,0.00004424,0.00004424,0.00004424,0.00004424,0,1742342399999,0,0,0,0,False,0
API3/USDC,1742256000000,0.884,0.884,0.884,0.884,0,1742342399999,0,0,0,0,False,0
DG/USDT,1742256000000,0.08085,0.08085,0.08,0.08043,1127.226,1742342399999,14040.4,3,14040.4,1127.226,False,0.080287
DG/USDC,1742256000000,0.0814,0.082,0.05144,0.0811,10611.777,1742342399999,136797.8,60,136797.8,10611.777,False,0.079132
DG/USDM,1742256000000,0.1398,0.1398,0.1398,0.1398,0,1742342399999,0,0,0,0,False,0
LPT/USDC,1742256000000,7.179,7.179,7.179,7.179,0,1742342399999,0,0,0,0,False,0
RARE/USDC,1742256000000,0.0688,0.0688,0.0688,0.0688,0,1742342399999,0,0,0,0,False,0
MAV/USDC,1742256000000,0.0903,0.0903,0.0903,0.0903,0,1742342399999,0,0,0,0,False,0
RSR/USDC,1742256000000,0.008297,0.008297,0.008297,0.008297,0,1742342399999,0,0,0,0,False,0
USDT/ETH,1742256000000,1927.3,1931.1,1873.3,1888.7,813234.482096,1742342399999,427.764954,32210,427.764954,813234.482096,False,1927.7
REZ/USDC,1742256000000,0.01582,0.01582,0.01582,0.01582,0,1742342399999,0,0,0,0,False,0
USDT/USDC,1742256000000,1,1,1,1,0,1742342399999,0,0,0,0,False,0
COW/USDC,1742256000000,0.2966,0.2966,0.2819,0.2832,23832.321419,1742342399999,82990.58,4854,82990.58,23832.321419,False,0.29093
NEIRO/USDC,1742256000000,0.02019,0.02019,0.02019,0.02019,0,1742342399999,0,0,0,0,False,0
SFP/USDC,1742256000000,0.6404,0.6404,0.6404,0.6404,0,1742342399999,0,0,0,0,False,0
PHA/USDC,1742256000000,0.1227,0.1228,0.1169,0.1204,13802.579139,1742342399999,115517.64,2640,115517.64,13802.579139,False,0.12084
CHR/USDC,1742256000000,0.1314,0.1314,0.1314,0.1314,0,1742342399999,0,0,0,0,False,0
SOL/ETH,1742256000000,0.000723,0.000723,0.000723,0.000723,0,1742342399999,0,0,0,0,False,0
UMA/USDC,1742256000000,1.569,1.569,1.569,1.569,0,1742342399999,0,0,0,0,False,0
SOL/USDC,1742256000000,128.1,128.2,121.9,122.1,35047.53298,1742342399999,281.59263,5010,281.59263,35047.53298,False,127.63
SOL/USDT,1742256000000,2.838,2.838,2.838,2.838,0,1742342399999,0,0,0,0,False,0
KNC/USDC,1742256000000,0.4194,0.4194,0.4194,0.4194,0,1742342399999,0,0,0,0,False,0
TFC/ETH,1742256000000,0.001123,0.001123,0.001123,0.001123,0,1742342399999,0,0,0,0,False,0
COTI/USDC,1742256000000,0.08498,0.08498,0.08498,0.08498,0,1742342399999,0,0,0,0,False,0
ENA/USDC,1742256000000,0.3771,0.3852,0.3571,0.3589,144295.915084,1742342399999,391405.83,13409,391405.83,144295.915084,False,0.37609
AIB/ETH,1742256000000,0.00001,0.00001,0.00001,0.00001,0,1742342399999,0,0,0,0,False,0
WBTC/ETH,1742256000000,0.02296,0.02322,0.02286,0.0232,0.04828748,1742342399999,2.100863,673,2.100863,0.04828748,False,0.022959
ZRX/USDC,1742256000000,0.2613,0.2624,0.2523,0.2541,42066.613102,1742342399999,163831.91,6194,163831.91,42066.613102,False,0.25972
WBTC/USDC,1742256000000,83864.6,83883.7,81064.6,81421.4,145684.057954,1742342399999,1.76596555,51237,1.76596555,145684.057954,False,83307.4
SKL/USDC,1742256000000,0.03448,0.03448,0.03448,0.03448,0,1742342399999,0,0,0,0,False,0
PYTH/USDC,1742256000000,0.153,0.154,0.1468,0.1477,18008.75561,1742342399999,120081.77,3454,120081.77,18008.75561,False,0.15294
AUCTION/USDC,1742256000000,14.2,14.2,14.2,14.2,0,1742342399999,0,0,0,0,False,0
ID/USDC,1742256000000,0.3639,0.3639,0.3639,0.3639,0,1742342399999,0,0,0,0,False,0
APE/USDC,1742256000000,0.482,0.482,0.482,0.482,0,1742342399999,0,0,0,0,False,0
AAVE/USDC,1742256000000,174.9,175.3,166.1,167.4,27564.540118,1742342399999,161.33555,5233,161.33555,27564.540118,False,173.63
IOTX/USDC,1742256000000,0.05095,0.05095,0.05095,0.05095,0,1742342399999,0,0,0,0,False,0
BAND/USDC,1742256000000,1.026,1.026,1.026,1.026,0,1742342399999,0,0,0,0,False,0
LOOKS/USDC,1742256000000,0.0167,0.0167,0.0167,0.0167,0,1742342399999,0,0,0,0,False,0
GTC/USDC,1742256000000,0.46,0.46,0.46,0.46,0,1742342399999,0,0,0,0,False,0
STG/USDC,1742256000000,0.2601,0.2601,0.2601,0.2601,0,1742342399999,0,0,0,0,False,0
Sailor/USDT,1742256000000,0.0000032,0.0000032,0.0000032,0.0000032,0,1742342399999,0,0,0,0,False,0
WBNB/USDC,1742256000000,649.7,649.7,649.7,649.7,0,1742342399999,0,0,0,0,False,0
EIGEN/USDT,1742256000000,50.13,50.13,50.13,50.13,0,1742342399999,0,0,0,0,False,0
EIGEN/USDC,1742256000000,1.168,1.172,1.104,1.109,67147.19493,1742342399999,59551.504,8307,59551.504,67147.19493,False,1.1682
OP/USDC,1742256000000,1.139,1.139,1.139,1.139,0,1742342399999,0,0,0,0,False,0
GRT/USDC,1742256000000,0.0963,0.0971,0.0935,0.0966,18774.28457,1742342399999,196326.96,3595,196326.96,18774.28457,False,0.095594
SNT/USDC,1742256000000,0.0311,0.0311,0.0311,0.0311,0,1742342399999,0,0,0,0,False,0
GRT/USDM,1742256000000,0.261,0.261,0.261,0.261,0,1742342399999,0,0,0,0,False,0
GRT/ETH,1742256000000,0.236,0.236,0.236,0.236,0,1742342399999,0,0,0,0,False,0
SYN/USDC,1742256000000,0.3533,0.3533,0.3533,0.3533,0,1742342399999,0,0,0,0,False,0
MATIC/USDC,1742256000000,102.3,102.3,102.3,102.3,0,1742342399999,0,0,0,0,False,0
RNDR/USDC,1742256000000,9.74,9.74,9.74,9.74,0,1742342399999,0,0,0,0,False,0
SUSHI/USDC,1742256000000,0.854,0.854,0.854,0.854,0,1742342399999,0,0,0,0,False,0
SNX/USDC,1742256000000,0.774,0.774,0.774,0.774,0,1742342399999,0,0,0,0,False,0
GALA/USDC,1742256000000,0.02218,0.02218,0.02218,0.02218,0,1742342399999,0,0,0,0,False,0
