pair,date,open,high,low,close,volume,close_time,quote_volume,trades
USDC/ETH,2025-03-10,2021.0,2153.0,1996.2,2106.3,2355101.387071,2025-03-10 23:59:59.999,1140.100325,52571
LDO/ETH,2025-03-09,1.0,1.0,1.0,1.0,0.0,2025-03-09 23:59:59.999,0.0,0
LDO/ETH,2025-03-10,1.0,1.0,1.0,1.0,0.0,2025-03-10 23:59:59.999,0.0,0
USDC/USDT,2025-03-09,1.0,1.0,1.0,1.0,0.0,2025-03-09 23:59:59.999,0.0,0
USDC/USDT,2025-03-10,1.0,1.0,1.0,1.0,0.0,2025-03-10 23:59:59.999,0.0,0
LDO/USDC,2025-03-09,1.07,1.076,0.984,0.991,73509.74292,2025-03-09 23:59:59.999,71312.024,8527
LDO/USDC,2025-03-10,0.991,1.057,0.978,1.024,46921.21171,2025-03-10 23:59:59.999,46142.498,5767
ZRO/USDC,2025-03-09,2.312,2.312,2.312,2.312,0.0,2025-03-09 23:59:59.999,0.0,0
ZRO/USDC,2025-03-10,2.312,2.312,1.818,1.818,23401.464,2025-03-10 23:59:59.999,11089.698,11
USUAL/USDC,2025-03-09,0.1846,0.1856,0.1674,0.17,134806.288281,2025-03-09 23:59:59.999,766957.158,19233
USUAL/USDC,2025-03-10,0.17,0.1785,0.1678,0.1744,67959.176435,2025-03-10 23:59:59.999,392694.005,9598
ARPA/USDC,2025-03-09,0.03583,0.03583,0.03583,0.03583,0.0,2025-03-09 23:59:59.999,0.0,0
ARPA/USDC,2025-03-10,0.03583,0.03583,0.03583,0.03583,0.0,2025-03-10 23:59:59.999,0.0,0
ZEUS/ETH,2025-03-09,0.00034,0.00034,0.00034,0.00034,0.0,2025-03-09 23:59:59.999,0.0,0
ZEUS/ETH,2025-03-10,0.00034,0.00034,0.00034,0.00034,0.0,2025-03-10 23:59:59.999,0.0,0
ENJ/USDC,2025-03-09,0.3661,0.3661,0.3661,0.3661,0.0,2025-03-09 23:59:59.999,0.0,0
ENJ/USDC,2025-03-10,0.3661,0.3661,0.3661,0.3661,0.0,2025-03-10 23:59:59.999,0.0,0
GAL/USDC,2025-03-09,4.054,4.054,4.054,4.054,0.0,2025-03-09 23:59:59.999,0.0,0
GAL/USDC,2025-03-10,4.054,4.054,4.054,4.054,0.0,2025-03-10 23:59:59.999,0.0,0
MKR/USDC,2025-03-09,1363.0,1388.0,1178.0,1193.0,31749.70716,2025-03-09 23:59:59.999,25.049884,6060
MKR/USDC,2025-03-10,1193.0,1232.0,1153.0,1187.0,19871.001744,2025-03-10 23:59:59.999,16.684467,3790
WKLAY/USDC,2025-03-09,0.1306,0.1306,0.1306,0.1306,0.0,2025-03-09 23:59:59.999,0.0,0
WKLAY/USDC,2025-03-10,0.1306,0.1306,0.1306,0.1306,0.0,2025-03-10 23:59:59.999,0.0,0
ARB/USDC,2025-03-09,0.3982,0.3997,0.3449,0.3496,170198.807467,2025-03-09 23:59:59.999,466643.55,30445
ARB/USDC,2025-03-10,0.3496,0.3725,0.3441,0.3629,103118.424559,2025-03-10 23:59:59.999,288648.77,17653
BEAM/USDC,2025-03-09,0.0091,0.0091,0.0091,0.0091,0.0,2025-03-09 23:59:59.999,0.0,0
BEAM/USDC,2025-03-10,0.0091,0.0091,0.0091,0.0091,0.0,2025-03-10 23:59:59.999,0.0,0
BIO/USDC,2025-03-09,0.1166,0.1166,0.1166,0.1166,0.0,2025-03-09 23:59:59.999,0.0,0
BIO/USDC,2025-03-10,0.1166,0.1166,0.1166,0.1166,0.0,2025-03-10 23:59:59.999,0.0,0
CELR/USDC,2025-03-09,0.01266,0.01266,0.01266,0.01266,0.0,2025-03-09 23:59:59.999,0.0,0
CELR/USDC,2025-03-10,0.01266,0.01266,0.01266,0.01266,0.0,2025-03-10 23:59:59.999,0.0,0
SEI/USDC,2025-03-09,0.2244,0.2244,0.2139,0.2139,2529.4835,2025-03-09 23:59:59.999,11759.86,4
SEI/USDC,2025-03-10,0.2139,0.2139,0.2139,0.2139,3741.96,2025-03-10 23:59:59.999,17494.0,1
G/USDC,2025-03-09,0.01888,0.01888,0.01888,0.01888,0.0,2025-03-09 23:59:59.999,0.0,0
G/USDC,2025-03-10,0.01888,0.01888,0.01888,0.01888,0.0,2025-03-10 23:59:59.999,0.0,0
ZRC/USDC,2025-03-09,0.06332,0.06332,0.06332,0.06332,0.0,2025-03-09 23:59:59.999,0.0,0
ZRC/USDC,2025-03-10,0.06332,0.06332,0.06332,0.06332,0.0,2025-03-10 23:59:59.999,0.0,0
MAGA/USDT,2025-03-09,134.1,134.1,134.1,134.1,0.0,2025-03-09 23:59:59.999,0.0,0
MAGA/USDT,2025-03-10,134.1,134.1,134.1,134.1,0.0,2025-03-10 23:59:59.999,0.0,0
LYV/USDC,2025-03-09,0.1,0.1,0.1,0.1,0.0,2025-03-09 23:59:59.999,0.0,0
LYV/USDC,2025-03-10,0.1,0.1,0.1,0.1,0.0,2025-03-10 23:59:59.999,0.0,0
CELO/USDC,2025-03-09,0.4339,0.4339,0.4339,0.4339,0.0,2025-03-09 23:59:59.999,0.0,0
CELO/USDC,2025-03-10,0.4339,0.4339,0.4339,0.4339,0.0,2025-03-10 23:59:59.999,0.0,0
UNI/ETH,2025-03-09,0.0532,0.0532,0.0532,0.0532,0.0,2025-03-09 23:59:59.999,0.0,0
UNI/ETH,2025-03-10,0.0532,0.0532,0.0532,0.0532,0.0,2025-03-10 23:59:59.999,0.0,0
UNI/USDC,2025-03-09,7.169,7.218,6.321,6.4,467696.19999,2025-03-09 23:59:59.999,69805.475,49423
UNI/USDC,2025-03-10,6.4,6.96,6.323,6.717,273271.897849,2025-03-10 23:59:59.999,41236.519,29166
WAVAX/USDC,2025-03-09,24.11,24.11,24.11,24.11,0.0,2025-03-09 23:59:59.999,0.0,0
WAVAX/USDC,2025-03-10,24.11,24.11,24.11,24.11,0.0,2025-03-10 23:59:59.999,0.0,0
ARKM/USDC,2025-03-09,0.64,0.64,0.64,0.64,0.0,2025-03-09 23:59:59.999,0.0,0
ARKM/USDC,2025-03-10,0.64,0.64,0.64,0.64,0.0,2025-03-10 23:59:59.999,0.0,0
ENS/ETH,2025-03-09,0.1,0.1,0.1,0.1,0.0,2025-03-09 23:59:59.999,0.0,0
ENS/ETH,2025-03-10,0.1,0.1,0.1,0.1,0.0,2025-03-10 23:59:59.999,0.0,0
ENS/USDC,2025-03-09,20.29,20.39,17.41,17.68,94944.816668,2025-03-09 23:59:59.999,5087.6173,17771
ENS/USDC,2025-03-10,17.68,19.0,17.2,18.55,60885.7866,2025-03-10 23:59:59.999,3358.8657,11599
ETHFI/USDC,2025-03-09,0.797,0.8,0.665,0.672,19709.17329,2025-03-09 23:59:59.999,27419.88,3725
ETHFI/USDC,2025-03-10,0.672,0.731,0.664,0.709,10471.8512,2025-03-10 23:59:59.999,15075.33,1969
METIS/USDC,2025-03-09,25.2,25.2,25.2,25.2,0.0,2025-03-09 23:59:59.999,0.0,0
METIS/USDC,2025-03-10,25.2,25.2,25.2,25.2,0.0,2025-03-10 23:59:59.999,0.0,0
MAP/USDC,2025-03-09,0.0002734,0.0002734,0.0002734,0.0002734,0.0,2025-03-09 23:59:59.999,0.0,0
MAP/USDC,2025-03-10,0.0002734,0.0002734,0.0002734,0.0002734,0.0,2025-03-10 23:59:59.999,0.0,0
HIFI/USDC,2025-03-09,0.442,0.442,0.442,0.442,0.0,2025-03-09 23:59:59.999,0.0,0
HIFI/USDC,2025-03-10,0.442,0.442,0.442,0.442,0.0,2025-03-10 23:59:59.999,0.0,0
BLUR/USDC,2025-03-09,0.1421,0.1421,0.1421,0.1421,0.0,2025-03-09 23:59:59.999,0.0,0
BLUR/USDC,2025-03-10,0.1421,0.1421,0.1421,0.1421,0.0,2025-03-10 23:59:59.999,0.0,0
FRONT/USDC,2025-03-09,0.769,0.769,0.769,0.769,0.0,2025-03-09 23:59:59.999,0.0,0
FRONT/USDC,2025-03-10,0.769,0.769,0.769,0.769,0.0,2025-03-10 23:59:59.999,0.0,0
SWELL/USDC,2025-03-09,0.01171,0.01175,0.01031,0.01076,5653.210593,2025-03-09 23:59:59.999,516079.3,1272
SWELL/USDC,2025-03-10,0.01076,0.01128,0.0105,0.01106,3034.324423,2025-03-10 23:59:59.999,279140.0,659
REQ/USDC,2025-03-09,0.1002,0.1002,0.1002,0.1002,0.0,2025-03-09 23:59:59.999,0.0,0
REQ/USDC,2025-03-10,0.1002,0.1002,0.1002,0.1002,0.0,2025-03-10 23:59:59.999,0.0,0
RDNT/USDC,2025-03-09,0.0326,0.0326,0.0326,0.0326,0.0,2025-03-09 23:59:59.999,0.0,0
RDNT/USDC,2025-03-10,0.0326,0.0326,0.0326,0.0326,0.0,2025-03-10 23:59:59.999,0.0,0
JUP/USDC,2025-03-09,0.7443,0.7443,0.7443,0.7443,0.0,2025-03-09 23:59:59.999,0.0,0
JUP/USDC,2025-03-10,0.7443,0.7443,0.7443,0.7443,0.0,2025-03-10 23:59:59.999,0.0,0
API3/USDC,2025-03-09,0.884,0.884,0.884,0.884,0.0,2025-03-09 23:59:59.999,0.0,0
API3/USDC,2025-03-10,0.884,0.884,0.884,0.884,0.0,2025-03-10 23:59:59.999,0.0,0
DG/ETH,2025-03-09,4.151e-05,4.219e-05,4.151e-05,4.219e-05,0.063583302,2025-03-09 23:59:59.999,1516.0,6
DG/ETH,2025-03-10,4.219e-05,4.219e-05,4.219e-05,4.219e-05,0.0,2025-03-10 23:59:59.999,0.0,0
DG/USDT,2025-03-09,0.0885,0.0902,0.08765,0.0885,7782.905219,2025-03-09 23:59:59.999,87762.9,31
DG/USDT,2025-03-10,0.0885,0.0885,0.08595,0.08595,2371.67575,2025-03-10 23:59:59.999,27271.0,10
DG/USDM,2025-03-09,0.1398,0.1398,0.1398,0.1398,0.0,2025-03-09 23:59:59.999,0.0,0
DG/USDM,2025-03-10,0.1398,0.1398,0.1398,0.1398,0.0,2025-03-10 23:59:59.999,0.0,0
DG/USDC,2025-03-09,0.08901,0.0902,0.08841,0.08855,58518.980084,2025-03-09 23:59:59.999,652723.1,113
DG/USDC,2025-03-10,0.08855,0.08899,0.08541,0.08595,51542.85678,2025-03-10 23:59:59.999,590318.5,43
LPT/USDC,2025-03-09,7.179,7.179,7.179,7.179,0.0,2025-03-09 23:59:59.999,0.0,0
LPT/USDC,2025-03-10,7.179,7.179,7.179,7.179,0.0,2025-03-10 23:59:59.999,0.0,0
RARE/USDC,2025-03-09,0.0688,0.0688,0.0688,0.0688,0.0,2025-03-09 23:59:59.999,0.0,0
RARE/USDC,2025-03-10,0.0688,0.0688,0.0688,0.0688,0.0,2025-03-10 23:59:59.999,0.0,0
MAV/USDC,2025-03-09,0.0903,0.0903,0.0903,0.0903,0.0,2025-03-09 23:59:59.999,0.0,0
MAV/USDC,2025-03-10,0.0903,0.0903,0.0903,0.0903,0.0,2025-03-10 23:59:59.999,0.0,0
RSR/USDC,2025-03-09,0.008297,0.008297,0.008297,0.008297,0.0,2025-03-09 23:59:59.999,0.0,0
RSR/USDC,2025-03-10,0.008297,0.008297,0.008297,0.008297,0.0,2025-03-10 23:59:59.999,0.0,0
COW/USDC,2025-03-09,0.2833,0.2856,0.2466,0.2503,48914.453263,2025-03-09 23:59:59.999,186727.71,9621
COW/USDC,2025-03-10,0.2503,0.2718,0.2475,0.2661,25389.362612,2025-03-10 23:59:59.999,97825.18,4966
